date,field,channel,min,max,mean,std,median,q1,q3,nonzero_count,zero_count
20220912,normalized_tensor,6,-0.10781123489141464,15.520569801330566,2.1695511165376047e-08,1.0,-0.10781123489141464,-0.10781123489141464,-0.10781123489141464,394560,0
20220912,normalized_tensor,7,-0.09100974351167679,18.0301513671875,4.911461459755628e-09,1.0,-0.09100974351167679,-0.09100974351167679,-0.09100974351167679,394560,0
20220913,input_tensor,0,0.0,128.0,1.5554871559143066,4.488750457763672,0.0,0.0,1.0,107088,287472
20220913,input_tensor,1,0.0,8.0,0.06497364491224289,0.31237462162971497,0.0,0.0,0.0,20391,374169
20220913,input_tensor,2,0.0,60.0,0.21546532213687897,0.8612807393074036,0.0,0.0,0.0,46298,348262
20220913,input_tensor,3,0.0,8.0,0.05335817113518715,0.2859123647212982,0.0,0.0,0.0,16632,377928
20220913,input_tensor,4,0.0,23.357507705688477,1.2104238271713257,3.8383429050445557,0.0,0.0,0.0,44256,350304
20220913,input_tensor,5,0.0,19.434045791625977,0.07439509779214859,0.9763625264167786,0.0,0.0,0.0,3054,391506
20220913,input_tensor,6,0.0,22.35022735595703,0.1907789260149002,1.554456353187561,0.0,0.0,0.0,8236,386324
20220913,input_tensor,7,0.0,20.79849624633789,0.0826612040400505,1.051216721534729,0.0,0.0,0.0,3083,391477
20220913,normalized_tensor,0,-0.34653010964393616,28.169200897216797,-2.0883378581970646e-08,0.9999999403953552,-0.34653010964393616,-0.34653010964393616,-0.1237509548664093,394560,0
20220913,normalized_tensor,1,-0.2079991102218628,25.40227508544922,-3.249492408485821e-08,0.9999998211860657,-0.2079991102218628,-0.2079991102218628,-0.2079991102218628,394560,0
20220913,normalized_tensor,2,-0.25016850233078003,69.41352844238281,-1.3032775747490177e-08,1.0,-0.25016850233078003,-0.25016850233078003,-0.25016850233078003,394560,0
20220913,normalized_tensor,3,-0.186624214053154,27.793977737426758,1.0441689735074533e-09,0.9999998807907104,-0.186624214053154,-0.186624214053154,-0.186624214053154,394560,0
20220913,normalized_tensor,4,-0.31535062193870544,5.769959449768066,-9.86159598426184e-09,0.9999999403953552,-0.31535062193870544,-0.31535062193870544,-0.31535062193870544,394560,0
20220913,normalized_tensor,5,-0.07619618624448776,19.828344345092773,2.666498133407913e-08,0.9999998807907104,-0.07619618624448776,-0.07619618624448776,-0.07619618624448776,394560,0
20220913,normalized_tensor,6,-0.1227303221821785,14.255433082580566,-3.4612266386346846e-09,1.0,-0.1227303221821785,-0.1227303221821785,-0.1227303221821785,394560,0
20220913,normalized_tensor,7,-0.07863383740186691,19.706531524658203,-1.2510691149714148e-08,0.9999997615814209,-0.07863383740186691,-0.07863383740186691,-0.07863383740186691,394560,0
20220914,input_tensor,0,0.0,134.0,1.5740216970443726,4.498082637786865,0.0,0.0,1.0,108882,285678
20220914,input_tensor,1,0.0,9.0,0.06650952994823456,0.3164387345314026,0.0,0.0,0.0,20819,373741
20220914,input_tensor,2,0.0,61.0,0.22742801904678345,0.8907926678657532,0.0,0.0,0.0,48177,346383
20220914,input_tensor,3,0.0,9.0,0.05599655210971832,0.29319125413894653,0.0,0.0,0.0,17431,377129
20220914,input_tensor,4,0.0,25.23416519165039,1.2359209060668945,3.8752427101135254,0.0,0.0,0.0,45137,349423
20220914,input_tensor,5,0.0,19.434019088745117,0.07487647235393524,0.9757521748542786,0.0,0.0,0.0,3103,391457
20220914,input_tensor,6,0.0,22.09726333618164,0.2091691941022873,1.6231257915496826,0.0,0.0,0.0,8936,385624
20220914,input_tensor,7,0.0,21.62322425842285,0.08600136637687683,1.072422981262207,0.0,0.0,0.0,3252,391308
20220914,normalized_tensor,0,-0.3499316871166229,29.440540313720703,8.66273541788587e-09,1.0,-0.3499316871166229,-0.3499316871166229,-0.12761475145816803,394560,0
20220914,normalized_tensor,1,-0.21018138527870178,28.23134422302246,-2.5978536655202333e-08,0.9999999403953552,-0.21018138527870178,-0.21018138527870178,-0.21018138527870178,394560,0
20220914,normalized_tensor,2,-0.25530970096588135,68.2230224609375,2.2517310682701464e-08,1.0000001192092896,-0.25530970096588135,-0.25530970096588135,-0.25530970096588135,394560,0
20220914,normalized_tensor,3,-0.19098985195159912,30.505695343017578,-2.021627132364756e-08,0.9999998807907104,-0.19098985195159912,-0.19098985195159912,-0.19098985195159912,394560,0
20220914,normalized_tensor,4,-0.3189273476600647,6.192707538604736,1.0751072920811566e-08,1.0000001192092896,-0.3189273476600647,-0.3189273476600647,-0.3189273476600647,394560,0
20220914,normalized_tensor,5,-0.076737180352211,19.840225219726562,-2.320375447339984e-09,0.9999998807907104,-0.076737180352211,-0.076737180352211,-0.076737180352211,394560,0
20220914,normalized_tensor,6,-0.12886813282966614,13.485149383544922,-1.28007382471651e-08,1.0,-0.12886813282966614,-0.12886813282966614,-0.12886813282966614,394560,0
20220914,normalized_tensor,7,-0.08019351214170456,20.0827693939209,1.3612869054213661e-08,0.9999999403953552,-0.08019351214170456,-0.08019351214170456,-0.08019351214170456,394560,0
20220915,input_tensor,0,0.0,116.0,1.6071420907974243,4.55658483505249,0.0,0.0,1.0,110151,284409
20220915,input_tensor,1,0.0,8.0,0.06549827754497528,0.312504380941391,0.0,0.0,0.0,20598,373962
20220915,input_tensor,2,0.0,66.0,0.2494981735944748,0.9536035060882568,0.0,0.0,0.0,50787,343773
20220915,input_tensor,3,0.0,8.0,0.05879207327961922,0.30516308546066284,0.0,0.0,0.0,18015,376545
