tl_id,phase_seq,char_idx,signal_char,lane_id,from_edge,to_edge
201293,2,2,r,:201293_1_1,477604193_01,477649578_010101_01
201293,2,3,G,:201293_3_0,477604193_01,477603993_02_02
201293,2,4,r,:201293_4_0,477603993_02_01,477604193_02
201293,2,5,r,:201293_5_0,477603993_02_01,477670332_02
201293,2,6,r,:201293_5_1,477603993_02_01,477670332_02
201293,2,7,r,:201293_5_2,477603993_02_01,477670332_02
201293,2,8,r,:201293_8_0,477603993_02_01,477649578_010101_01
201293,2,9,r,:201293_9_0,477649578_010101_02,477603993_02_02
201293,2,10,r,:201293_10_0,477649578_010101_02,477604193_02
201293,2,11,r,:201293_10_1,477649578_010101_02,477604193_02
201293,2,12,G,:201293_12_0,477649578_010101_02,477670332_02
201293,2,13,r,:201293_13_0,477670332_01,477649578_010101_01
201293,2,14,r,:201293_14_0,477670332_01,477603993_02_02
201293,2,15,r,:201293_14_1,477670332_01,477603993_02_02
201293,2,16,r,:201293_16_0,477670332_01,477604193_02
201293,3,0,r,:201293_0_0,477604193_01,477670332_02
201293,3,1,r,:201293_1_0,477604193_01,477649578_010101_01
201293,3,2,r,:201293_1_1,477604193_01,477649578_010101_01
201293,3,3,y,:201293_3_0,477604193_01,477603993_02_02
201293,3,4,r,:201293_4_0,477603993_02_01,477604193_02
201293,3,5,r,:201293_5_0,477603993_02_01,477670332_02
201293,3,6,r,:201293_5_1,477603993_02_01,477670332_02
201293,3,7,r,:201293_5_2,477603993_02_01,477670332_02
201293,3,8,r,:201293_8_0,477603993_02_01,477649578_010101_01
201293,3,9,r,:201293_9_0,477649578_010101_02,477603993_02_02
201293,3,10,r,:201293_10_0,477649578_010101_02,477604193_02
201293,3,11,r,:201293_10_1,477649578_010101_02,477604193_02
201293,3,12,y,:201293_12_0,477649578_010101_02,477670332_02
201293,3,13,r,:201293_13_0,477670332_01,477649578_010101_01
201293,3,14,r,:201293_14_0,477670332_01,477603993_02_02
201293,3,15,r,:201293_14_1,477670332_01,477603993_02_02
201293,3,16,r,:201293_16_0,477670332_01,477604193_02
201293,4,0,r,:201293_0_0,477604193_01,477670332_02
201293,4,1,r,:201293_1_0,477604193_01,477649578_010101_01
201293,4,2,r,:201293_1_1,477604193_01,477649578_010101_01
201293,4,3,r,:201293_3_0,477604193_01,477603993_02_02
201293,4,4,G,:201293_4_0,477603993_02_01,477604193_02
201293,4,5,G,:201293_5_0,477603993_02_01,477670332_02
201293,4,6,G,:201293_5_1,477603993_02_01,477670332_02
201293,4,7,G,:201293_5_2,477603993_02_01,477670332_02
201293,4,8,g,:201293_8_0,477603993_02_01,477649578_010101_01
201293,4,9,r,:201293_9_0,477649578_010101_02,477603993_02_02
201293,4,10,r,:201293_10_0,477649578_010101_02,477604193_02
201293,4,11,r,:201293_10_1,477649578_010101_02,477604193_02
201293,4,12,r,:201293_12_0,477649578_010101_02,477670332_02
201293,4,13,G,:201293_13_0,477670332_01,477649578_010101_01
201293,4,14,G,:201293_14_0,477670332_01,477603993_02_02
201293,4,15,G,:201293_14_1,477670332_01,477603993_02_02
201293,4,16,g,:201293_16_0,477670332_01,477604193_02
201293,5,0,r,:201293_0_0,477604193_01,477670332_02
201293,5,1,r,:201293_1_0,477604193_01,477649578_010101_01
201293,5,2,r,:201293_1_1,477604193_01,477649578_010101_01
201293,5,3,r,:201293_3_0,477604193_01,477603993_02_02
201293,5,4,y,:201293_4_0,477603993_02_01,477604193_02
201293,5,5,y,:201293_5_0,477603993_02_01,477670332_02
201293,5,6,y,:201293_5_1,477603993_02_01,477670332_02
201293,5,7,y,:201293_5_2,477603993_02_01,477670332_02
201293,5,8,g,:201293_8_0,477603993_02_01,477649578_010101_01
201293,5,9,r,:201293_9_0,477649578_010101_02,477603993_02_02
201293,5,10,r,:201293_10_0,477649578_010101_02,477604193_02
201293,5,11,r,:201293_10_1,477649578_010101_02,477604193_02
201293,5,12,r,:201293_12_0,477649578_010101_02,477670332_02
201293,5,13,y,:201293_13_0,477670332_01,477649578_010101_01
201293,5,14,y,:201293_14_0,477670332_01,477603993_02_02
201293,5,15,y,:201293_14_1,477670332_01,477603993_02_02
201293,5,16,g,:201293_16_0,477670332_01,477604193_02
201293,6,0,r,:201293_0_0,477604193_01,477670332_02
201293,6,1,r,:201293_1_0,477604193_01,477649578_010101_01
201293,6,2,r,:201293_1_1,477604193_01,477649578_010101_01
201293,6,3,r,:201293_3_0,477604193_01,477603993_02_02
201293,6,4,r,:201293_4_0,477603993_02_01,477604193_02
201293,6,5,r,:201293_5_0,477603993_02_01,477670332_02
201293,6,6,r,:201293_5_1,477603993_02_01,477670332_02
201293,6,7,r,:201293_5_2,477603993_02_01,477670332_02
201293,6,8,G,:201293_8_0,477603993_02_01,477649578_010101_01
201293,6,9,r,:201293_9_0,477649578_010101_02,477603993_02_02
201293,6,10,r,:201293_10_0,477649578_010101_02,477604193_02
201293,6,11,r,:201293_10_1,477649578_010101_02,477604193_02
201293,6,12,r,:201293_12_0,477649578_010101_02,477670332_02
201293,6,13,r,:201293_13_0,477670332_01,477649578_010101_01
201293,6,14,r,:201293_14_0,477670332_01,477603993_02_02
201293,6,15,r,:201293_14_1,477670332_01,477603993_02_02
201293,6,16,G,:201293_16_0,477670332_01,477604193_02
201293,7,0,r,:201293_0_0,477604193_01,477670332_02
201293,7,1,r,:201293_1_0,477604193_01,477649578_010101_01
201293,7,2,r,:201293_1_1,477604193_01,477649578_010101_01
201293,7,3,r,:201293_3_0,477604193_01,477603993_02_02
201293,7,4,r,:201293_4_0,477603993_02_01,477604193_02
201293,7,5,r,:201293_5_0,477603993_02_01,477670332_02
201293,7,6,r,:201293_5_1,477603993_02_01,477670332_02
201293,7,7,r,:201293_5_2,477603993_02_01,477670332_02
201293,7,8,y,:201293_8_0,477603993_02_01,477649578_010101_01
201293,7,9,r,:201293_9_0,477649578_010101_02,477603993_02_02
201293,7,10,r,:201293_10_0,477649578_010101_02,477604193_02
201293,7,11,r,:201293_10_1,477649578_010101_02,477604193_02
201293,7,12,r,:201293_12_0,477649578_010101_02,477670332_02
201293,7,13,r,:201293_13_0,477670332_01,477649578_010101_01
201293,7,14,r,:201293_14_0,477670332_01,477603993_02_02
201293,7,15,r,:201293_14_1,477670332_01,477603993_02_02
201293,7,16,y,:201293_16_0,477670332_01,477604193_02
201300,0,0,r,:201300_0_0,477610002_02,477660958_01
201300,0,1,r,:201300_1_0,477610002_02,477610053_02020202_02
201300,0,2,r,:201300_1_1,477610002_02,477610053_02020202_02
201300,0,3,r,:201300_3_0,477610002_02,477604809_01
201300,0,4,G,:201300_4_0,477604809_02,477610002_01
201300,0,5,G,:201300_5_0,477604809_02,477660958_01
201300,0,6,G,:201300_5_1,477604809_02,477660958_01
201300,0,7,g,:201300_7_0,477604809_02,477610053_02020202_02
201300,0,8,g,:201300_8_0,477604809_02,477604809_01
201300,0,9,r,:201300_9_0,477610053_02020202_01,477604809_01
201300,0,10,r,:201300_10_0,477610053_02020202_01,477610002_01
201300,0,11,r,:201300_10_1,477610053_02020202_01,477610002_01
201300,0,12,r,:201300_12_0,477610053_02020202_01,477660958_01
201300,0,13,G,:201300_13_0,477660958_02,477610053_02020202_02
201300,0,14,G,:201300_14_0,477660958_02,477604809_01
201300,0,15,G,:201300_14_1,477660958_02,477604809_01
201300,0,16,g,:201300_16_0,477660958_02,477610002_01
201300,0,17,g,:201300_17_0,477660958_02,477660958_01
201300,1,0,r,:201300_0_0,477610002_02,477660958_01
201300,1,1,r,:201300_1_0,477610002_02,477610053_02020202_02
201300,1,2,r,:201300_1_1,477610002_02,477610053_02020202_02
201300,1,3,r,:201300_3_0,477610002_02,477604809_01
201300,1,4,y,:201300_4_0,477604809_02,477610002_01
201300,1,5,y,:201300_5_0,477604809_02,477660958_01
201300,1,6,y,:201300_5_1,477604809_02,477660958_01
201300,1,7,g,:201300_7_0,477604809_02,477610053_02020202_02
201300,1,8,g,:201300_8_0,477604809_02,477604809_01
201300,1,9,r,:201300_9_0,477610053_02020202_01,477604809_01
201300,1,10,r,:201300_10_0,477610053_02020202_01,477610002_01
